"id","statecode","stshcode","statecrscode","nationalcrscode","course_desc","course_sdesc","course_ldescr","course_cat_type","course_cat_type_name","course_subcatcode","course_subcat_name","course_catcode","course_catname","course_level_type","course_level_type_value","course_length","course_length_value","available_course_credit","available_course_credit_value","graduation_requirement","course_level","course_level_value","cet_course","cet_course_value","state_off_in_grade","county_off_in_grade","max_gpa_unweighted","max_gpa_unweighted_value","max_gpa_weighted","max_gpa_weighted_value","course_url","course_prerequisites","course_prerequisite_value","course_code","course_perquisitestext","course_blocked","rs_code","course_type","course_type_value","course_datasource","course_teacherattribute","equivalent_courses","include_in_gpa","series_of_courses","mandatory","mandatory_value","is_fine_arts","course_sced_code","eoc_applicable","eoc_applicable_value","waeoc_final_grade","credit_per_semester","max_semesters","offered_gradeto","grading_pattern","course_flg","cclstrids","jobids","crusr","crdate","cripaddress","modusr","moddate","modipaddress","sts"
60,12,FL,"108320","",Creative Photography 2,CREATIVE PHOTO 2,"","1127",Electives-Others,226,Photography,170,CLEP Credits via CAP,1069,Regular,1075,Year,"1132","1.00",1090,1096,Regular,"1150",No,"9, 10, 11, 12","","1136","4.00","1136","4.00",http://www.cpalms.org/Public/PreviewCourse/Preview/13671,"1142",No,"","",N,60,1107,High School & Adult Education,Section 3 -Grades 9 to 12 and Adult Education Course Listing,1110,0,Y,N,"1140",No,"0","0","1148",No,"0.00","0.00",0,"0","0",,"","","1","20/07/18 19:20","1.1.1.1","1","20/07/18 19:20","2.2.2.2",0
61,12,FL,"108330","",Creative Photography 3 Honors,CREATIVE PHOTO 3 HON,"","1127",Electives-Others,226,Photography,170,CLEP Credits via CAP,1070,"Honors, IB, AP, AICE, advanced college-preparatory course",1075,Year,"1132","1.00",1090,1097,Honors,"1150",No,"9, 10, 11, 12","","1136","4.00","1137","4.50",http://www.cpalms.org/Public/PreviewCourse/Preview/13672,"1142",No,"","",N,61,1107,High School & Adult Education,Section 3 -Grades 9 to 12 and Adult Education Course Listing,1111,0,Y,N,"1140",No,"0","0","1148",No,"0.00","0.00",0,"0","0",,"","","1","20/07/18 19:20","1.1.1.1","1","20/07/18 19:20","2.2.2.2",0
62,12,FL,"108355","","Pre-AICE Photography, Digital and Lens Media IGCSE Level",PRE-AICE PHOTO IGCSE,"","1127",Electives-Others,226,Photography,170,CLEP Credits via CAP,1070,"Honors, IB, AP, AICE, advanced college-preparatory course",1075,Year,"1132","1.00",1090,1098,AICE,"1150",No,"9, 10, 11, 12","","1136","4.00","1137","4.50",http://www.cpalms.org/Public/PreviewCourse/Preview/2768,"1142",No,"","",N,62,1107,High School & Adult Education,Section 3 -Grades 9 to 12 and Adult Education Course Listing,1112,0,Y,N,"1140",No,"0","0","1148",No,"0.00","0.00",0,"0","0",,"","","1","20/07/18 19:20","1.1.1.1","1","20/07/18 19:20","2.2.2.2",0
63,12,FL,"108360","",AICE Art and Design - Photography AS Level,AICE ART&DESPHOTO AS,"","1127",Electives-Others,226,Photography,170,CLEP Credits via CAP,1070,"Honors, IB, AP, AICE, advanced college-preparatory course",1075,Year,"1132","1.00",1090,1098,AICE,"1150",No,"9, 10, 11, 12","","1136","4.00","1137","4.50",http://www.cpalms.org/Public/PreviewCourse/Preview/2808,"1142",No,"","",N,63,1107,High School & Adult Education,Section 3 -Grades 9 to 12 and Adult Education Course Listing,1112,0,Y,N,"1140",No,"0","0","1148",No,"0.00","0.00",0,"0","0",,"","","1","20/07/18 19:20","1.1.1.1","1","20/07/18 19:20","2.2.2.2",0
64,12,FL,"109310","",Portfolio Development: Drawing-Honors,PORT DEV: DRAW HON,"","1127",Electives-Others,227,Portfolio,170,CLEP Credits via CAP,1070,"Honors, IB, AP, AICE, advanced college-preparatory course",1075,Year,"1132","1.00",1090,1097,Honors,"1150",No,"9, 10, 11, 12","","1136","4.00","1137","4.50",http://www.cpalms.org/Public/PreviewCourse/Preview/13673,"1142",No,"","",N,64,1107,High School & Adult Education,Section 3 -Grades 9 to 12 and Adult Education Course Listing,1111,0,Y,N,"1140",No,"0","0","1148",No,"0.00","0.00",0,"0","0",,"","","1","20/07/18 19:20","1.1.1.1","1","20/07/18 19:20","2.2.2.2",0
65,12,FL,"109320","",Portfolio Development: Two-Dimensional Design Honors,PORT DEV: 2D DES HON,"","1127",Electives-Others,227,Portfolio,170,CLEP Credits via CAP,1070,"Honors, IB, AP, AICE, advanced college-preparatory course",1075,Year,"1132","1.00",1090,1097,Honors,"1150",No,"9, 10, 11, 12","","1136","4.00","1137","4.50",http://www.cpalms.org/Public/PreviewCourse/Preview/13674,"1142",No,"","",N,65,1107,High School & Adult Education,Section 3 -Grades 9 to 12 and Adult Education Course Listing,1111,0,Y,N,"1140",No,"0","0","1148",No,"0.00","0.00",0,"0","0",,"","","1","20/07/18 19:20","1.1.1.1","1","20/07/18 19:20","2.2.2.2",0
66,12,FL,"109330","",Portfolio Development: Three-Dimensional Design-Honors,PORT DEV: 3D DES HON,"","1127",Electives-Others,227,Portfolio,170,CLEP Credits via CAP,1070,"Honors, IB, AP, AICE, advanced college-preparatory course",1075,Year,"1132","1.00",1090,1097,Honors,"1150",No,"9, 10, 11, 12","","1136","4.00","1137","4.50",http://www.cpalms.org/Public/PreviewCourse/Preview/13675,"1142",No,"","",N,66,1107,High School & Adult Education,Section 3 -Grades 9 to 12 and Adult Education Course Listing,1111,0,Y,N,"1140",No,"0","0","1148",No,"0.00","0.00",0,"0","0",,"","","1","20/07/18 19:20","1.1.1.1","1","20/07/18 19:20","2.2.2.2",0
68,12,FL,"109355","",Advanced Placement Studio Art Two-Dimensional Design Innovation,AP STUDIO/2-D INNOV,"","1127",Electives-Others,227,Portfolio,170,CLEP Credits via CAP,1070,"Honors, IB, AP, AICE, advanced college-preparatory course",1075,Year,"1132","1.00",1090,1099,AP Course,"1150",No,"9, 10, 11, 12","","1136","4.00","1138","5.00",http://www.cpalms.org/Public/PreviewCourse/Preview/14193,"1142",No,"","",N,68,1107,High School & Adult Education,Section 3 -Grades 9 to 12 and Adult Education Course Listing,1113,0,Y,N,"1140",No,"0","0","1148",No,"0.00","0.00",0,"0","0",,"","","1","20/07/18 19:20","1.1.1.1","1","20/07/18 19:20","2.2.2.2",0
70,12,FL,"110300","",Printmaking 1,PRINTMG 1,"","1127",Electives-Others,228,Printmaking,170,CLEP Credits via CAP,1069,Regular,1075,Year,"1132","1.00",1090,1096,Regular,"1150",No,"9, 10, 11, 12","","1136","4.00","1136","4.00",http://www.cpalms.org/Public/PreviewCourse/Preview/13676,"1142",No,"","",N,70,1107,High School & Adult Education,Section 3 -Grades 9 to 12 and Adult Education Course Listing,1110,0,Y,N,"1140",No,"0","0","1148",No,"0.00","0.00",0,"0","0",,"","","1","20/07/18 19:20","1.1.1.1","1","20/07/18 19:20","2.2.2.2",0
71,12,FL,"110310","",Printmaking 2,PRINTMG 2,"","1127",Electives-Others,228,Printmaking,170,CLEP Credits via CAP,1069,Regular,1075,Year,"1132","1.00",1090,1096,Regular,"1150",No,"9, 10, 11, 12","","1136","4.00","1136","4.00",http://www.cpalms.org/Public/PreviewCourse/Preview/13677,"1142",No,"","",N,71,1107,High School & Adult Education,Section 3 -Grades 9 to 12 and Adult Education Course Listing,1110,0,Y,N,"1140",No,"0","0","1148",No,"0.00","0.00",0,"0","0",,"","","1","20/07/18 19:20","1.1.1.1","1","20/07/18 19:20","2.2.2.2",0
